id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
43414161,,10.5662,0,0.022,0.254,0.8622,3.6239,209.5233,0
43415181,45.0,12.0622,0,0.0713,0.9314,0.1274,10.3142,52.5755,0
43422337,235.0,3.4006,0,0.1715,0.7549,0.6164,1.5246,253.4784,0
43431634,206.0,5.1015,0,0.1293,0.7892,0.3408,3.2848,159.7822,0
43442679,90.0,4.5356,0,0.1137,0.6296,0.2116,3.8304,397.3531,0
43486597,319.0,3.9161,0,0.1457,0.716,0.3057,2.5083,258.2845,1
43489645,141.0,3.3146,0,0.1733,0.7479,0.5732,1.4639,253.4784,0
43498654,178.0,3.3217,0,0.1737,0.7507,0.605,1.4545,253.4784,0
43514955,244.0,3.2382,0,0.1769,0.0,0.6384,1.3646,253.4784,0
43518441,38.0,12.1126,0,0.0714,0.0,0.1281,10.3583,52.5755,0
43532857,157.0,4.332,0,0.1487,0.7929,0.6224,2.4419,365.3628,0
43555956,208.0,5.7829,0,0.1085,0.736,0.203,4.3672,258.2845,0
43576117,72.0,12.0756,0,0.0607,0.0,0.095,10.6882,86.1152,0
43594534,100.0,4.2311,0,0.0975,0.51,0.3018,4.6068,152.0856,0
43600854,216.0,3.2338,0,0.1769,0.0,0.635,1.3615,253.4784,0
43638215,,4.5207,0,0.1283,0.7085,0.2481,3.2418,314.0505,0
43638644,72.0,4.5186,0,0.1281,0.7067,0.2466,3.2577,314.0505,0
43653015,42.0,5.6936,0,0.0906,0.6064,0.1692,5.0523,397.3531,1
43662803,269.0,4.3201,0,0.1112,0.5919,0.2211,3.8984,383.6329,3
43689052,62.0,5.8657,0,0.0612,0.0,0.4781,1.7665,399.8848,0
43691686,42.0,5.7199,0,0.0907,0.6094,0.1685,5.0618,397.3531,2
43701611,63.0,5.8684,0,0.0612,0.0,0.4782,1.7636,399.8848,0
43702402,42.0,5.8389,0,0.0616,0.0,0.5011,1.709,399.8848,0
43767503,38.0,6.817,0,0.1026,0.8023,0.2113,5.1189,165.1946,0
43777047,118.0,1.6978,1,0.2532,0.6831,0.6907,0.5414,842.8006,0
43789677,130.0,5.1536,0,0.1276,0.7854,0.3206,3.3616,159.7822,0
43806243,70.0,8.6095,0,0.0328,0.3152,0.2594,2.7893,382.9801,1
43818411,94.0,3.0119,1,0.1392,0.5586,0.3765,3.312,188.3615,0
43835556,118.0,4.3801,0,0.1216,0.6543,0.2243,3.5309,314.0505,0
43870930,104.0,6.6932,0,0.1115,0.8576,0.3462,4.8112,160.9753,0
43876715,414.0,4.4352,0,0.1465,0.796,0.6042,2.545,365.3628,0
43877038,123.0,4.3647,0,0.1477,0.7925,0.5927,2.4743,365.3628,0
43898901,60.0,8.9635,0,0.0739,0.0,0.1226,7.6891,217.7129,0
